E29	15TX
F85	15TX
G87	15TX
G01_rep	15TX
F54	16TX
F65	16TX
F66	16TX
G13	16TX
G14	16TX
G15	16TX
G16	16TX
G3	16TX
G4	16TX
G57	16TX
G58	16TX
G59	16TX
G60	16TX
G73	16TX
G74	16TX
G76	16TX
G77	16TX
H26	21NM
D46	37CR
D47	37CR
D48	37CR
D72	37CR
D70_rep	37CR
D71_rep	37CR
D1	38CR
D2	38CR
D3	38CR
D4	38CR
D49	38CR
D50	38CR
D51	38CR
D52	38CR
D73	38CR
D75	38CR
D76	38CR
D5	39CR
D53	39CR
D54	39CR
D55	39CR
D56	39CR
D6	39CR
D7	39CR
D77	39CR
D78	39CR
D79	39CR
D8	39CR
D80	39CR
D12	41CR
D13	41CR
D16	41CR
D41	41CR
D42	41CR
D43	41CR
D44	41CR
D57	41CR
D58	41CR
D59	41CR
D60	41CR
D81	41CR
D82	41CR
D83	41CR
D84	41CR
D15_rep	41CR
D17	43GR
D18	43GR
D19	43GR
D20	43GR
D33	43GR
D34	43GR
D35	43GR
D61	43GR
D62	43GR
D63	43GR
D64	43GR
D85	43GR
D86	43GR
D87	43GR
D88	43GR
D21	44GR
D22	44GR
D23	44GR
D27	44GR
D37	44GR
D38	44GR
D39	44GR
D40	44GR
D89	44GR
D90	44GR
D91	44GR
D92	44GR
D93	44GR
D94	44GR
D24_rep	44GR
D65_rep	44GR
