# For mean_cov_ns, the coverage at each locus is weighted by the number of
# samples present at that locus (i.e. coverage at shared loci counts more).
sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns
R10	1498	26802	17.892	19.927
R11	1095	5391	4.923	4.969
R12	1363	13065	9.585	10.428
R13	1391	12219	8.784	9.422
R14	1464	24851	16.975	18.384
R15	1549	36599	23.628	26.794
R16	1584	42866	27.062	31.261
R17	1530	30927	20.214	22.720
R18	1439	20078	13.953	15.288
R19	1654	24785	14.985	17.317
R2	1494	23067	15.440	17.229
R20	1411	14417	10.218	11.167
R3	1636	41302	25.246	29.417
R4	281	475	1.690	1.698
R5	1452	22669	15.612	17.028
R6	1452	21142	14.561	15.999
R7	1560	44158	28.306	32.223
R8	1248	3171	2.541	3.003
R9	1571	26871	17.104	19.794
S1	1662	43137	25.955	31.000
S10	488	1436	2.943	1.514
S10_rep	668	1401	2.097	2.174
S11	250	351	1.404	1.399
S11_rep	1292	7608	5.889	6.269
S12	1073	4245	3.956	4.140
S13	1330	10403	7.822	8.289
S14	769	1603	2.085	2.142
S15	1476	23065	15.627	17.298
S16	1423	15641	10.992	11.892
S17	1430	16584	11.597	12.640
S18	1315	9127	6.941	7.444
S19	1398	12962	9.272	10.104
S2	1548	40680	26.279	29.631
S20	1108	4739	4.277	4.465
S21	1494	28496	19.074	21.302
S22	1425	10530	7.389	8.110
S23	1391	14216	10.220	11.089
S24	1533	42327	27.611	31.062
S3	1239	8408	6.786	7.150
S4	1546	28613	18.508	20.947
S5	168	308	1.833	1.860
S6	1458	21381	14.665	16.091
S7	1407	14080	10.007	10.882
S8	1456	19520	13.407	14.626
S9	1310	7627	5.822	6.232
