sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
J27	259104	105763	0.408	52378	76274	0	77067	0	0
K1	282066	88879	0.315	44090	63208	0	129979	0	0
K2	169688	71514	0.421	35488	49245	0	48929	0	0
K3	177876	73669	0.414	36484	51605	0	52602	0	0
K31	135472	3219	0.024	1653	2107	0	130146	0	0
K32	197996	67239	0.340	33335	46145	0	84612	0	0
K33	174746	54774	0.313	27108	37670	0	82302	0	0
K34	319652	63930	0.200	31637	43283	0	212439	0	0
K4	129856	54392	0.419	26990	37719	0	37745	0	0
K5	136568	53679	0.393	26697	39042	0	43847	0	0
K6	1596866	829	0.001	527	837	0	1595200	0	0
K7	588	105	0.179	59	46	0	437	0	0
K8	4099900	6184	0.002	3401	4905	0	4088811	0	0
L1	240336	95195	0.396	47483	71251	0	73890	0	0
L10	53642	21517	0.401	10730	16002	0	16123	0	0
L11	201168	82311	0.409	40835	59908	0	58949	0	0
L12	310374	99916	0.322	49415	69916	0	140542	0	0
L13	196466	81886	0.417	40383	57083	0	57497	0	0
L14	159090	66088	0.415	32742	43946	0	49056	0	0
L15	111322	46896	0.421	23234	32502	0	31924	0	0
L16	155990	64532	0.414	32020	46376	0	45082	0	0
L17	151836	64643	0.426	31969	44304	0	42889	0	0
L18	2280	890	0.390	445	628	0	762	0	0
L18_rep	64658	26546	0.411	13203	19898	0	18214	0	0
L19	853958	361841	0.424	179213	250547	0	241570	0	0
L2	55326	17967	0.325	8933	12847	0	24512	0	0
L20	155854	64583	0.414	32111	43827	0	47444	0	0
L21	216872	90320	0.416	44781	62037	0	64515	0	0
L22	142136	60741	0.427	30088	41272	0	40123	0	0
L23	177242	73939	0.417	36615	52049	0	51254	0	0
L24	345408	59857	0.173	29816	41046	0	244505	0	0
L25	19514	5549	0.284	2667	3811	0	10154	0	0
L26	68264	27469	0.402	13695	20683	0	20112	0	0
L27	133546	55758	0.418	27620	38806	0	38982	0	0
L28	235110	99508	0.423	49371	69197	0	66405	0	0
L3	290810	113809	0.391	56488	77402	0	99599	0	0
L4	200350	81988	0.409	40688	57498	0	60864	0	0
L5	32934	12825	0.389	6388	8707	0	11402	0	0
L6	144806	31441	0.217	15602	21995	0	91370	0	0
L7	132298	54513	0.412	27050	38816	0	38969	0	0
L8	93798	38686	0.412	19225	26539	0	28573	0	0
L9	3368	1147	0.341	612	803	0	1418	0	0
L9_rep	65178	27249	0.418	13425	18748	0	19181	0	0
M20_rep	137806	55621	0.404	27570	38565	0	43620	0	0
N1	91290	35455	0.388	17612	26640	0	29195	0	0
N10	160508	65860	0.410	32606	46452	0	48196	0	0
N11	237044	73979	0.312	36645	52257	0	110808	0	0
N12	414122	169255	0.409	83466	123757	0	121110	0	0
N13	174768	36683	0.210	18186	27347	0	110738	0	0
N14	166466	70408	0.423	34693	47963	0	48095	0	0
N15	213090	69535	0.326	34382	51301	0	92254	0	0
N16	423930	140059	0.330	69188	105445	0	178426	0	0
N17	214864	87803	0.409	43320	65732	0	61329	0	0
N17_rep	3850	1485	0.386	812	1008	0	1357	0	0
N18	187566	80033	0.427	39468	53783	0	53750	0	0
N19	83750	31811	0.380	15739	24270	0	27669	0	0
N20	143188	59629	0.416	29378	41535	0	42024	0	0
N21	25914	10755	0.415	5287	7565	0	7594	0	0
N22	14206	9089	0.640	4693	1450	0	3667	0	0
N23	4734	1841	0.389	952	1284	0	1609	0	0
N24	165238	66573	0.403	33048	49058	0	49607	0	0
N25	130842	53864	0.412	26552	37587	0	39391	0	0
N26	143362	60335	0.421	29744	41336	0	41691	0	0
N27	134522	56552	0.420	27885	38726	0	39244	0	0
N28	164940	68346	0.414	33731	47963	0	48631	0	0
N3	54838	22647	0.413	11281	15112	0	17079	0	0
N4	95664	39100	0.409	19202	27927	0	28637	0	0
N5	139462	58183	0.417	28809	41685	0	39594	0	0
N6	151122	33181	0.220	16273	23285	0	94656	0	0
N7	36222	14891	0.411	7442	10325	0	11006	0	0
N8	105004	43131	0.411	21406	31561	0	30312	0	0
N9	274804	114923	0.418	56506	81199	0	78682	0	0
Q1	225398	88663	0.393	43683	72978	0	63757	0	0
Q10	3714	1756	0.473	907	832	0	1126	0	0
Q11	48638	19133	0.393	9485	16048	0	13457	0	0
Q12	155446	61110	0.393	30154	48801	0	45535	0	0
Q13	71366	27765	0.389	13637	22755	0	20846	0	0
Q14	210748	84563	0.401	41938	67624	0	58561	0	0
Q15	34088	13143	0.386	6505	10325	0	10620	0	0
Q2	146906	56152	0.382	27903	46390	0	44364	0	0
Q3	101528	39501	0.389	19567	33144	0	28883	0	0
Q4	403826	159785	0.396	79006	126938	0	117103	0	0
Q5	145970	58014	0.397	28814	47147	0	40809	0	0
Q6	42006	16274	0.387	8097	13783	0	11949	0	0
Q7	77542	30619	0.395	15103	24911	0	22012	0	0
Q8	124072	49186	0.396	24400	39374	0	35512	0	0
Q9	52326	20928	0.400	10257	16645	0	14753	0	0
R1	1624	669	0.412	384	343	0	612	0	0
R10	135656	53185	0.392	26383	39541	0	42930	0	0
R11	29574	10567	0.357	5176	8560	0	10447	0	0
R12	66098	25894	0.392	12829	19521	0	20683	0	0
R13	60260	24221	0.402	12002	18607	0	17432	0	0
R14	121826	48990	0.402	24139	34389	0	38447	0	0
R15	174658	72380	0.414	35781	52523	0	49755	0	0
R16	209322	84515	0.404	41649	63587	0	61220	0	0
R17	152894	60915	0.398	29988	45377	0	46602	0	0
R18	102198	39683	0.388	19605	29958	0	32557	0	0
R19	126800	49252	0.388	24467	37038	0	40510	0	0
R2	113624	45783	0.403	22716	33491	0	34350	0	0
R20	73606	28644	0.389	14227	21583	0	23379	0	0
R3	201772	81523	0.404	40221	60042	0	60207	0	0
R4	2798	985	0.352	510	837	0	976	0	0
R5	107740	44700	0.415	22031	31074	0	31966	0	0
R6	108930	41791	0.384	20649	30265	0	36874	0	0
R7	223976	87667	0.391	43509	65264	0	71045	0	0
R8	345660	6354	0.018	3183	6202	0	333104	0	0
R9	138640	53231	0.384	26360	38167	0	47242	0	0
S1	198396	85588	0.431	42451	58468	0	54340	0	0
S10	5878	2936	0.499	1500	1283	0	1659	0	0
S10_rep	11966	2819	0.236	1418	1893	0	7254	0	0
S11	2230	748	0.335	397	702	0	780	0	0
S11_rep	43376	15169	0.350	7561	11378	0	16829	0	0
S12	20740	8418	0.406	4173	6313	0	6009	0	0
S13	49394	20556	0.416	10153	14124	0	14714	0	0
S14	8074	3184	0.394	1581	2086	0	2804	0	0
S15	111784	45782	0.410	22717	31875	0	34127	0	0
S16	74270	31140	0.419	15499	21255	0	21875	0	0
S17	82030	33063	0.403	16479	24240	0	24727	0	0
S18	47394	18333	0.387	9206	13902	0	15159	0	0
S19	151458	25945	0.171	12983	19623	0	105890	0	0
S2	190024	80435	0.423	39755	56830	0	52759	0	0
S20	24208	9366	0.387	4627	7476	0	7366	0	0
S21	140970	56647	0.402	28151	40713	0	43610	0	0
S22	50566	20962	0.415	10432	14941	0	14663	0	0
S23	65870	28009	0.425	13793	19352	0	18509	0	0
S24	199166	83851	0.421	41524	58778	0	56537	0	0
S3	41706	16809	0.403	8401	12611	0	12286	0	0
S4	136926	56615	0.413	28002	40873	0	39438	0	0
S5	1932	616	0.319	308	561	0	755	0	0
S6	101878	42178	0.414	20797	28881	0	30819	0	0
S7	68134	27990	0.411	13910	20974	0	19170	0	0
S8	90056	38490	0.427	18970	25943	0	25623	0	0
S9	36260	15111	0.417	7484	10961	0	10188	0	0
