sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
E18	218382	199642	0.914	99493	11521	0	7219	0	0
E19	199466	184863	0.927	92131	9222	0	5381	0	0
E20	244946	227962	0.931	113523	10922	0	6062	0	0
E21	224882	208613	0.928	103973	10327	0	5942	0	0
E22	202898	187576	0.924	93409	9790	0	5532	0	0
E23	216312	198761	0.919	99069	10845	0	6706	0	0
E24_rep	305386	274018	0.897	136553	15445	0	15923	0	0
E25	280874	261921	0.933	130626	12370	0	6583	0	0
E26	223206	207448	0.929	103407	10236	0	5522	0	0
E27	176824	163440	0.924	81469	8419	0	4965	0	0
E28	261948	243726	0.930	121619	11274	0	6948	0	0
E29	71542	28314	0.396	14027	22484	0	20744	0	0
E3	59514	54090	0.909	26941	3259	0	2165	0	0
E30	102528	40827	0.398	20405	33001	0	28700	0	0
E31	87178	80085	0.919	39914	4530	0	2563	0	0
E32	142980	131809	0.922	65734	7430	0	3741	0	0
E33	168974	155337	0.919	77443	8188	0	5449	0	0
E34	239452	219981	0.919	109676	12065	0	7406	0	0
E35	183322	171366	0.935	85339	7412	0	4544	0	0
E36	175576	163974	0.934	81790	7943	0	3659	0	0
E37	211648	196775	0.930	98088	9704	0	5169	0	0
E38	184730	171247	0.927	85350	9359	0	4124	0	0
E39	158754	145023	0.914	72323	7714	0	6017	0	0
E4	305432	284149	0.930	141616	13267	0	8016	0	0
E40	92708	84409	0.910	42061	5325	0	2974	0	0
E41	196932	180470	0.916	89936	9192	0	7270	0	0
E42	149210	135361	0.907	67424	7202	0	6647	0	0
E43	200272	183077	0.914	91248	8349	0	8846	0	0
E44	193710	178495	0.921	89065	8372	0	6843	0	0
E45	173196	160240	0.925	79864	7343	0	5613	0	0
E46	173118	159518	0.921	79521	7727	0	5873	0	0
E47	108910	100719	0.925	50240	4878	0	3313	0	0
E48	69320	63658	0.918	31694	3626	0	2036	0	0
E49	179490	166490	0.928	82967	8390	0	4610	0	0
E5	172692	158222	0.916	78846	8666	0	5804	0	0
E50	164922	152340	0.924	76038	7355	0	5227	0	0
E51	219384	201498	0.918	100328	9903	0	7983	0	0
E52	199792	183594	0.919	91449	9812	0	6386	0	0
E53	200726	186013	0.927	92612	9272	0	5441	0	0
E54	45280	41549	0.918	20688	2207	0	1524	0	0
E55	166170	153710	0.925	76691	7642	0	4818	0	0
